source,paragraph
Conan Doyle,"reaped in a short time. His appearance, you see, is so remarkable that"
Christie,“Miss Pettigrew?” I exclaimed.
Christie,"Cabin No. 17 figure so prominently? It was all a mystery, but there"
Christie,think so. The red paper was far too fresh-looking. It was just as
Conan Doyle,at Lestrade. “You hear! He gives me hopes.”
Conan Doyle,"""It is surely an Assai palm,"" said Summerlee."
Christie,"shocked nor surprised at anything that might happen,” I murmured"
Christie,"“Dear me, Poirot,” I said, my excitement rising, “I smell some goodly"
Christie,Poirot greeted him in a business-like manner.
Conan Doyle,red-covered volume from a line of books of reference beside the
Conan Doyle,"it came slowly forth and overhung the chasm, we saw that it was a very"
Conan Doyle,the firm for which this man worked. Having taken the printed
Christie,"“Well, what is it?” demanded Bex impatiently."
Christie,"overheard. But, as is usual when one topic fills the mind to the"
Conan Doyle,"butterflies and beetles, containing many new species.  Was this not"
Christie,"wet, holding an equally dripping female by the hand. Men are very"
Conan Doyle,“It seems to me to be a most dark and sinister business.”
Conan Doyle,"door. “I let you know, then, that I have caught him!”"
Conan Doyle,Holmes with his bright little eyes.
Christie,"“Compatriots though we are, we will not speak Russian, I think,”"
Christie,window and the profile of Marthe as she bent over her work.
Conan Doyle,The remonstrance was too reasonable to be disregarded.  Challenger
Conan Doyle,"five hundred pounds was the amount, but I can only touch the interest.”"
Conan Doyle,To Sherlock Holmes she is always _the_ woman. I have seldom heard him
Conan Doyle,"“Sometimes I have thought that it was merely the wild talk of delirium,"
Conan Doyle,"“My eye caught the name of Openshaw, and the heading ‘Tragedy Near"
Christie,"enough, but at least we have only one language, and some slight"
Conan Doyle,"Harrow. Now, we must make the best use of our time, so kindly take us"
Christie,Again I believe he is right. If it is disreputable to have a woman
Conan Doyle,"""Well?"" said he, with a most insolent stare.  ""What now?"""
Christie,"“I live here,” he said simply."
Christie,who likes to play a lone hand—though no one else must do so.”
Christie,pince-nez and an efficient air. I judged that she was finding it
Christie,"“I’m shockingly out of condition,” he observed. “I think I must"
Christie,the sofa and unburden your soul.”
Conan Doyle,Prison had been pulled down.  Challenger's conceit is too colossal to
Conan Doyle,satisfactory cause of death. My evidence showed that the door had been
Christie,"“Yes, I’m quite certain of that. The man was frightened. What"
Christie,"her down to Marlow. She went into the house, and I spoke to the"
Christie,"“No, it isn’t. There’s really awfully little to do. Usually a couple of"
Conan Doyle,“Then I am your man.”
Christie,"It was probably a mere whim of the moment. All the same, I had it"
Conan Doyle,"little chaps, and had enough to make them so.  It seems that the humans"
Christie,“Good afternoon. I’m busy.”
Conan Doyle,"schoolmaster in Chesterfield, where I received an excellent education."
Conan Doyle,"least once a day.  Like most men of action, he is laconic in speech,"
Christie,"your speeches, Sir Eustace?”"
Conan Doyle,"employing, or even of understanding. To take the first example to hand,"
Christie,"detective stories, Suzanne, you must know that it’s always the most"
Christie,and I’m stronger than you.”
Conan Doyle,"thought that, as we were a _partie carrée_, you might have your rubber"
Conan Doyle,“My sister had told me some weeks before that I might have the pick of
Christie,“I’m a friend.” I advanced a step towards him. “I offered you my
Christie,"“About two years ago, when he first arrived from South America. I met"
Christie,"neither of us was hit. Harry raised the rifle. It spat murderously,"
Christie,"“Indeed, that might be one way of tracing them,” continued the"
Conan Doyle,"“This is the envelope,” he continued. “The postmark is London—eastern"
Conan Doyle,"“Owe!” He caught up a pen. “Name the sum, and I will pay it.”"
Christie,one wouldn’t cut ice with him! It’s a real piece of luck happening on
Conan Doyle,should not have thought was in his nature. ‘If you choose to call the
Conan Doyle,"""Dear me!  That is his most dangerous subject.  You won't believe a"
Conan Doyle,"people, but they have not themselves suggested any way by which we may"
Christie,taken from the back of the train. She looked at me pityingly.
Christie,"the old days, didn’t you? But methods are very different now.”"
Conan Doyle,"believe that Mrs. St. Clair had been deluded when, with a cry, she"
Christie,"Pagett’s employer, and he _did_ own the Mill House.”"
Christie,England will be entirely populated by Pagetts soon. I sent the
Conan Doyle,The face flashed back again.
Conan Doyle,"the old country. One of the farms which he held, that of Hatherley, was"
Conan Doyle,"more favourable to me than to any of the others, and he closed the door"
Conan Doyle,much. I think myself that it is a page from some private diary. The
Christie,"“Then why bury it?” he asked softly. “Reflect, Giraud. Since it was to"
Conan Doyle,his skull had an Indian not stabbed the beast to the heart.  Other
Christie,"afloat in Paris. She was suspected of espionage, but they couldn’t"
Conan Doyle,disagreeable persistence of Mr. Fowler.”
Conan Doyle,than a thousand of these filthy creatures lay in the hollow before us.
Conan Doyle,Street we shall just be in time for breakfast.”
Christie,“But what reason could there be?”
Conan Doyle,of dried cartilage at one end of it.
Conan Doyle,“You would not think £ 1000 apiece an excessive sum for them?”
Christie,"“They must cause you great pain,” he said, and once more he looked"
Christie,"the time. How gallantly she had played her part that day, inwardly"
Conan Doyle,"premises, but without finding anything which threw any light upon the"
Christie,not sail on the _Anzora?___”
Conan Doyle,"proud to see my own son do, should I ever chance to have one.”"
Conan Doyle,"room was full of a dense tobacco haze, but nothing remained of the heap"
Conan Doyle,"""Is all ready for your journey?"" he asked."
Conan Doyle,"wind.  His eyebrows were tufted and overhanging, which gave those"
Conan Doyle,"“The next I heard of Frank was that he was in Montana, and then he went"
Conan Doyle,yellow wreaths. Our gas was lit and shone on the white cloth and
Christie,hover on the verge of a mysterious smile. There was something almost
Conan Doyle,position from among the tick-laden bushes until we came to a small
Conan Doyle,"""Well, he became more reasonable and we had a chat.  But I got nothing"
Conan Doyle,she was? Would she not have made an admirable queen? Is it not a pity
Christie,"Here he broke down with a bad fit of choking, the result of an"
Christie,"on the floor, bound hand and foot, uttering feeble moans, having"
Christie,"“I’m an actress. No—not the kind you’re thinking of, lunching at the"
Christie,the Falls that night. Women have no taste. Neither of those two
Christie,"“I have a feeling,” he said slowly, “that this is going to be a big"
Christie,"I can forgive Sir Eustace easily enough, but I shall never forgive"
Conan Doyle,"what sounded like a curse at me I observed that it had curved, sharp"
Christie,“She’s not in her room. I’ve been there. I had a dream—a terrible
Conan Doyle,I had the same feeling of mystery and danger around us.  In the gloom
Conan Doyle,room while you explain this matter?”
Conan Doyle,"“‘Oh, any old key will fit that bureau. When I was a youngster I have"
Conan Doyle,"marooned among the creatures of a bygone age, could but gaze towards it"
Christie,He ran down to me.
Christie,him. “He wants information of some kind from this girl.”
Conan Doyle,"insufficient data. The presence of the gipsies, and the use of the word"
Conan Doyle,"“My name,” answered our visitor, “is probably familiar to your ears. I"
Christie,"death. You thwarted and defied him over this girl, and by your"
Conan Doyle,which was then floated down the river to Para.  Lord John Roxton
Conan Doyle,"safe, and locked it again. Then I started to go round the house to see"
Christie,In all probability he and I would never meet again. . . .
Conan Doyle,"Even the old chief met us with the same obstinate denial, and it was"
Conan Doyle,"editor, and I rather hoped that he liked me.  Of course, Beaumont was"
Conan Doyle,that he has suffered.”
Christie,“You progress to a marvel! Who told you he was killed in this shed?”
Conan Doyle,and I on you.”
Christie,“Exactly. Now Giraud laid it down as an axiom that a woman lies to save
Christie,"actually killed another woman, and he was responsible for endless"
Conan Doyle,"“Evidently,” said I, “Mr. Wilson’s assistant counts for a good deal in"
Christie,“though Race is certainly old enough to know better.”
Conan Doyle,"“It is, of course, well known to you that in a successful banking"
Conan Doyle,"effervescing with fight, but fortunately I was rescued from an odious"
Conan Doyle,"that we should have gone on to Paris to-morrow, only that this good"
Conan Doyle,carriage. Now carry out my orders to the letter.”
Christie,"“Ah, you won’t know yourself in another day or two. We’ve had"
Conan Doyle,ventilation of the facts is the object of your journey; but I demand
Conan Doyle,"was the centre of a little knot of flushed and struggling men, who"
Conan Doyle,"loudly for my stepfather, and I met him hastening from his room in his"
Christie,Sir Eustace looked surprised. Colonel Race made a gesture with his
Conan Doyle,"I had given him up for dead and had gone to England, followed me there,"
Conan Doyle,It was on the third day after our forming our camp near the Indian
Christie,"“You lie very well, Gipsy girl. But it will save time and trouble"
Christie,make a few things clear to you?”
Conan Doyle,"caressing and soothing his manner was—‘and what has frightened you, my"
Conan Doyle,"false position. He never spoke of the softer passions, save with a gibe"
Christie,"“Doubtless, now that he has—retired, he will marry. Some young"
Christie,"“The case was not quite satisfactory to me,” he observed judicially."
Christie,question being found to be mere paste imitations. Remorselessly the
Christie,beautiful! I have betrayed professional secrets for you!”
Conan Doyle,"know, my dear Watson, that you share my love of all that is bizarre and"
Conan Doyle,"""But you've had the escape of your life, young fellah my lad,"" said"
Conan Doyle,"through the gloom, I saw Whitney, pale, haggard, and unkempt, staring"
Christie,"father we cannot be certain, but I think we may assume that this is"
Christie,"We got the lad to the Villa, where he dropped limply on to a chair in a"
Conan Doyle,"“There can be no question as to their nature,” he answered."
Conan Doyle,as definite as if it marked the course of a river.  In front was an
Christie,to gain possession of that dagger. Perhaps he feared that finger-prints
Christie,"People passed and repassed, brisk couples “exercising,” curveting"
Christie,"No, but there’s one person on board who’s known all along. He’s"
Conan Doyle,"“Quite so,” he answered, lighting a cigarette, and throwing himself"
Christie,"jumping to conclusions, but I think I had some excuse in this instance."
Christie,accomplice and did that accomplice see to it that the front door should
Christie,"table to-morrow night. It’s the Fancy Dress dance. By the way,"
Christie,I did not answer.
Conan Doyle,made his home there. Both he and the Lascar stoutly swore that no one
Christie,that she ran no risk of the extreme penalty. The circumstances of the
Christie,“God bless my soul!” ejaculated Sir Eustace. “What about the young
Christie,"When the Beroldys had been in Paris about three months, another"
Christie,"“Yes,” said Poirot, in a somewhat dissatisfied voice."
Christie,"curious mistakes—slips of the tongue, I might almost have thought"
Christie,already in Africa at the time of our arrival.
Conan Doyle,whole business was still confused and grotesque. As I drove home to my
Christie,"“If that is indeed the truth, _I___ congratulate _you___, _mon ami___."
Conan Doyle,"""THE CHAIRMAN:  'Yes, sir, if there must be an amendment.'"
Christie,"Unmoved by this irony, Giraud replied:"
Christie,admittedly a fabrication. If she was innocent of connivance in the
Christie,were a couple in a hundred.”
Christie,“come in.” When she saw who it was she literally fell on my neck.
Christie,“You think they’ve just gone out for a stroll together? But it’s
Conan Doyle,"“Well, then, you’ve lost your fiver, for it’s town bred,” snapped the"
Conan Doyle,"to the station. The bridge, no doubt, was too crowded, even on such a"
Christie,"force my way through. When I emerged at last on the course, it was"
Christie,extraordinarily well. Pagett said he had a headache and didn’t
Christie,alternately whining and threatening. I gathered he was asking for
Christie,Mr. Chichester did not reply.
Conan Doyle,"“What do you say, dear?” said my wife, looking across at me. “Will you"
Conan Doyle,extraordinary narrative. Then Sherlock Holmes pulled down from the
Christie,"afternoon, a lady came to see over the house. She produced an order"
Christie,“Mademoiselle Cinderella is staying at the Hôtel d’Angleterre you told
Christie,"necessary two bodies. There, there, _ne vous impatientez pas!___ I"
Conan Doyle,"say to us.  From a cupboard he had brought an old cigar-box, and this"
Conan Doyle,"""So why should you not try your luck with Professor Challenger, of"
Conan Doyle,"flat slabs of rock in the center, with an excellent well close by, and"
Christie,had gazed at him in fascinated interest for quite a long while.
Conan Doyle,one of those singular adventures which were the normal condition of his
Christie,"I entered. A good deal of scattered clothing lay about, and Mrs."
Conan Doyle,navigation.  I understand that they are the very two--Ataca and Ipetu
Conan Doyle,come from some spot within a few hundred yards of our camp.  It was as
Christie,been identified. The police are reported to have a clue. Sir
Conan Doyle,"I travelled in my youth, took to the stage, and finally became a"
Conan Doyle,"facts from the commencement, and I can afterwards question you as to"
Christie,"“And what happened to him—eventually, I mean. Does any one know?”"
Conan Doyle,“Quite so. She has her freedom.”
Christie,overlooking one salient point.”
Christie,into believing for one instant that the dead man had risen from the
Conan Doyle,('Shame! shame!')  He had no desire to be offensive.  ('You are!' and
Christie,"only one pleasing thing—the how do you call them?—tee boxes! They, at"
Conan Doyle,"“It is obvious. And now, you see, I had narrowed the field down"
Christie,patch. In the middle of it there was a slit in the cloth. Poirot
Christie,She flashed a smile at me.
Christie,"“What is it, my friend?”"
Christie,"any other disguise, I mean?” asked Suzanne."
Christie,"“Ah!” he remarked suddenly, with an intonation of relief. “The"
Christie,have wasted my time if _I___ had gone. It is the same with so called
Conan Doyle,"“‘Oh, I am so frightened!’ I panted."
Christie,remain open? I wonder if—”
Conan Doyle,"could have acted otherwise, though her abrupt method of doing it was"
Conan Doyle,"removed. Saturday would suit them better than any other day, as it"
Christie,presence on the _Kilmorden Castle_ seemed something of a coincidence.
Christie,"but the lady is without doubt young and beautiful, _n’est-ce pas?___"
Conan Doyle,"Darwinism, and I would call your attention to the fact that such a word"
Conan Doyle,"excavating fuller’s-earth, which, as I understand, is dug out like"
Conan Doyle,Then he became a little more reasonable. I told him that we would give
Christie,"“That’s all right, miss. We can go along.”"
Conan Doyle,halfway down the column. “Here it is. This is what began it all. You
Conan Doyle,"inhabited by some unknown creatures, and there was that of Maple"
Conan Doyle,"""Don't you think the Central Lake would be more descriptive?"" remarked"
Conan Doyle,“I am no official agent. I understand that it was your daughter who
Christie,"“You remember Joseph Aarons, the theatrical agent? No? I assisted him"
Conan Doyle,"full of the horrible pests, and it was clear that we must shift our"
Christie,"“_Très bien, mon enfant___,” said Poirot. “I am pleased with you. Go"
Christie,black eye? But of course you have. How can I go about with a
Conan Doyle,showed that he was possessed of unusual strength of body and of
Conan Doyle,"this time I was set on going, and I would go; for what right had he to"
Christie,“I don’t know whether you knew that Jack Renauld would be coming that
Christie,that sort of thing?”
Conan Doyle,"offence, but referred it to the Assizes. Horner, who had shown signs of"
Conan Doyle,"“Suddenly, without any preliminary sound in the midst of the utter"
Conan Doyle,"offer seemed almost too good to be true. The gentleman, however, seeing"
Conan Doyle,I have found that it is usually in unimportant matters that there is a
Conan Doyle,"welcome from their fellows.  Then, with our mission accomplished and"
Conan Doyle,"“When he was gone I unlocked my bureau, made sure that my treasure was"
Conan Doyle,and that it is still lying in our cellar. The crate upon which I sit
Christie,"she had discerned two masked men bending over her. Stifling her cries,"
Christie,"We could say no more, for the old man had joined us."
Christie,of one’s class. It never answers.”
Conan Doyle,"used it for climbing the pinnacle.  It was over a hundred feet long,"
Christie,  CHAPTER XXXI
Christie,whispered that some interesting mystery surrounded her birth. It was
Christie,“That I do not know—but here is her photograph.”
Christie,"ever forgive me, I wondered? He had been strangely calm so far, but I"
Conan Doyle,subject. Turn over those papers and arrange the extracts in their order
Conan Doyle,“I shall be at Baker Street at ten.”
Conan Doyle,could not imagine. It seemed altogether past belief that anyone could
Conan Doyle,"We withdrew hurriedly from the chasm, our minds full of this new"
Christie,"“I should say he was but for one thing,” said Harry. “It seems"
Christie,"on deck. Under the impression that I should die quicker below, I"
Christie,"“Yes,” I said gaily, “you must be known by your real name now.”"
Conan Doyle,"All day I was engaged in my professional work, and it was late in the"
Christie,I don’t think I ever really believed in the annihilation of Anne.
Christie,It was too dark to recognize anybody. All I could see was that he
Conan Doyle,and bar your shutters?”
Conan Doyle,                          The Lost World
Conan Doyle,"    be you. And your address had been given me. Yet, with all this, you"
Christie,would butt in and inform me that the hides were worthless because
Conan Doyle,the Lado Enclave drooping its supercilious lip above them all.
Conan Doyle,"“Well, there is at least a curious coincidence of dates. A ventilator"
Conan Doyle,devising of some means by which you could return to the outer world?
Conan Doyle,"thornbush door of our zareba, clasped each other's hands, and thrown"
Conan Doyle,there are many noble families to whom we have advanced large sums upon
Christie,"Not for the first time, I felt a slight discomfort in Colonel"
Conan Doyle,advice looks upon all that I tell him about it as the fancies of a
Christie,"Besides being extremely painful, since I could not guard my face"
Christie,"appointed as a rendezvous by accident, or for some obscure motive"
Conan Doyle,"""The obvious one that the creature exists.  That is actually sketched"
Conan Doyle,"""I mean, my dear Summerlee, to give you such a demonstration of its"
Christie,"And then I saw the look in her eyes, the look Poirot had spoken of, as"
Christie,"well meant, did not console me in the least."
Conan Doyle,"and high was his spirit that, upon Challenger laying his great hand"
Christie,was not my meaning. We will hope that Mademoiselle Bella will be dealt
Conan Doyle,for he is only five years and two months older than myself.”
Conan Doyle,"window, but it was enough for all our purposes.  As we craned our necks"
Christie,quite aside. I was able to say what I wanted without too much
Christie,The man in the corner raised a meek voice.
Conan Doyle,of those nicks is for a slave murderer--a good row of them--what?  That
Conan Doyle,reflected credit upon any living race.  As to the Indians I cannot
Conan Doyle,"Curious glassy gray eyes they have, under red tufts, and they just sat"
Christie,"significance of those words. What a terrible part she has had to play,"
Christie,"“_Parbleu!___ to see how long it was,” replied my friend imperturbably."
Conan Doyle,"“Indeed, it is a likely ruse enough,” observed Bradstreet thoughtfully."
Christie,"Poirot handed it to him, and the magistrate read it."
Christie,I shook my head. “Guess again. You remember my telling you that my
Conan Doyle,"fascination of his manner. He is older than Arthur, a man of the world"
Christie,“What shall we do with this junk? Throw it overboard?” he asked
Christie,That shut him up for the time being. I went on deck. The Beddingfeld
Conan Doyle,"handed me a long, smooth Havana.  Then, seating himself opposite to me,"
Conan Doyle,"Then, at last, we lit our torches.  It was a beautiful dry tunnel with"
Conan Doyle,"“You know me, then?”"
Conan Doyle,Might I ask you a question or two?”
Christie,She looked at me appealingly.
Christie,the middle of the cabin. The dead whiteness of his face showed that
Christie,"who had been subjected to a test, or had the story been told for"
Christie,"“Why, that it was Madame Daubreuil—Beroldy, who murdered Mr. Renauld."
Christie,"When the men began to dig up the ground, all would have been"
Conan Doyle,those details which seem to me to be most important.”
Christie,"They leave all to chance!” He frowned, and altered the position of the"
Christie,son’s final destination. He was going overland from there to Santiago.”
Christie,Poirot glanced at me dryly.
Christie,"“Exactly, and Madame Renauld’s evidence places it at after 2 a.m. which"
Christie,"    “I told you that I was staying at the Hôtel du Phare, but of course"
Conan Doyle,"to do anything on the sly, so I wrote to father at Bordeaux, where the"
Conan Doyle,it could not be shown that there had ever before been anything against
Conan Doyle,"I send this letter back in his charge, and only hope that it may"
Christie,I wound a scarf round my head and stole to the door. I must be
Conan Doyle,"father, and that there is no doubt that he had that very day so far"
Conan Doyle,"it always upwards and back.  A thin, oval-tinted mist formed before my"
Conan Doyle,"Sherlock Holmes seemed to be embarrassed by the question. “Frankly,"
Christie,anxiety underlying Marthe Daubreuil’s tones—but I asked suddenly:
Christie,they were—” he paused delicately. “Eh? It was that without doubt?”
Conan Doyle,claimed to have made discoveries in those regions which had been
Christie,"as he always does when he wants to be confidential. “Sir Eustace,"
Conan Doyle,and bore every trace of prolonged hardship.  So far as I could
Conan Doyle,McArdle was plunged in thought for some minutes.
Christie,But Giraud was not even listening. He twirled his cane amicably.
Christie,"mine, however, the ears of a man who has lived long in the"
Conan Doyle,"right of the line of the stream, when we came upon a considerable"
Christie,But I refused to allow myself to get annoyed.
Conan Doyle,"“I see it, I deduce it. How do I know that you have been getting"
Christie,“We have other evidence. There is some one else who knew that
Christie,“_Eh bien!___ I also have found something! A piece of lead-piping.”
Christie,reach. I should have enjoyed telling him what I thought of his
Christie,enter the room. His face lit at the sight of us.
Conan Doyle,"fantastic business of the advertisement of the League, and the copying"
Conan Doyle,"“Very well. It may, however, have been written on Monday and only"
Christie,"my Tube “doctor” were those of non-essentials. An overcoat, a"
Conan Doyle,unforeseen catastrophe has occurred to him?”
Conan Doyle,came to a head.
Conan Doyle,"said I, pointing to some matches upon the ground, ""is where we lit up."""
Christie,nothing it reminds you of?”
Conan Doyle,"cubic capacity,” said he; “a man with so large a brain must have"
Conan Doyle,sound which it was dreadful to listen to. An elderly man with a red
Conan Doyle,"""PROFESSOR SUMMERLEE (springing to his feet):  'Might I explain, your"
Conan Doyle,whitewashed corridor with a line of doors on each side.
Conan Doyle,"Sherlock Holmes sat silent for some few minutes, with his brows knitted"
Christie,"ridiculous formalities that bureaucracies require, did I breathe"
Christie,Poirot turned back the pages.
Conan Doyle,"glass-factories and paper-mills.’ Ha, ha, my boy, what do you make of"
Conan Doyle,myself in my life than when I saw the beautiful creature against whom I
Conan Doyle,up and driven by a child.  In a few minutes the huge beast had been cut
Christie,"“But you _must___ have known,” I expostulated. “You were taken up to"
Christie,the proud mother in her voice. “This was made from a streamline
Christie,in about a week’s time. I don’t want to study conditions in the
Christie,affair at the Villa Geneviève?’
Christie,nothing till the morning. But Poirot had other plans.
Christie,the surface of the bed with a rake.”
Conan Doyle,to me at a glance that he was in the grip of some deadly and chronic
Christie,"“Madame Daubreuil,” said the detective dryly."
Conan Doyle,"looking keenly at the houses. Finally he returned to the pawnbroker’s,"
Christie,"hair. She was not really clever, the Master Criminal of the"
Christie,I did not answer. I stood looking at him.
Christie,"he’d been wounded in the war, and sometimes they go a bit queer"
Conan Doyle,bound from Reading to the little Berkshire village. There were Sherlock
Christie,accompanied him. His heartiness was in strong contrast to the lad’s wan
Christie,"over my ears again. I put a lot of powder on my face, so that the"
Christie,"“The piece of lead piping,” said Poirot, and left the room."
Christie,character. She is a woman who can simulate great emotional stress. She
Christie,masquerading. Why? Did he fear something? Was he trying to escape by
Conan Doyle,"The Lord St. Simon marriage, and its curious termination, have long"
Christie,"become embittered, suspicious—always prone to look for ulterior"
Christie,A rather peculiar smile played over the dancer’s face.
Christie,"more than we did, we are no nearer to solving the mystery of who killed"
Christie,"Duke. Others asserted that it was an Austrian Archduke, and that the"
Christie,“You are sure of this man?”
Christie,hotel about eleven o’clock to fetch her. I was left to my own
Christie,an acute sense of self-preservation. And the murder of Nadina
Conan Doyle,"I saw you last, but I did not call at the house. It is a very sweet"
Conan Doyle,"“Eight weeks passed away like this, and I had written about Abbots and"
Christie,“That is what we ask ourselves. Why should it be? But later we have the
Christie,With a slightly ironic smile he wound it round the dagger again.
Christie,"loaf haphazard and shapeless, that no baker should permit himself to"
Conan Doyle,sit once more on a lounge in the Savage Club and look out on the drab
Christie,"trust for my mother to come to me at her death,” replied the lad."
Conan Doyle,"high road at the other end, I found that the pavement had been cleared,"
Christie,as caretaker to the Mill House and inhabited the small lodge
Christie,He looked at the name on the envelope. Sir Eustace was watching
Conan Doyle,"it into my hand. Now, I’ll state the case clearly and concisely to you,"
Conan Doyle,"little hesitation, then, I screwed up my courage and continued upon my"
Conan Doyle,which filled the air with a constant clamor and appeared to come from
Conan Doyle,“Yes. We had occasion some months ago to strengthen our resources and
Christie,"“What do you say to that, _jeune homme?___”"
Conan Doyle,"mantelpiece. “Here he is,” said he, sitting down and flattening it out"
Christie,"must look for him. You do not understand, but I will explain it all to"
Conan Doyle,suggestions which I could only elaborate in a personal conversation.
Conan Doyle,sends anyone else to intrude upon me I shall call upon him with a
Conan Doyle,"There was the case, and of course there was but one way out of it."
Conan Doyle,“But I am all in the dark.”
Christie,"“What about the rest of the household, had they gone up to bed?”"
Conan Doyle,The lady coloured deeply and covered over her injured wrist. “He is a
Conan Doyle,lunatic.  If they had been a row of his favorite Pressmen he could not
Christie,"Instantly Poirot was beside her, he raised the lid of her eye, felt her"
Conan Doyle,coolness of Lord John Roxton.  Without them I was like a child in the
Conan Doyle,"it was I, and not a bunch of apes, that dropped in on you in the"
Conan Doyle,"perplexity, ""I say--what the deuce are we to do with these people?  Get"
Christie,"him as he comes to visit his mistress, and stabs him in the back. Then,"
Conan Doyle,failed to catch the most fleeting glance of the front of the house. The
Conan Doyle,"estates extended over the borders into Berkshire in the north, and"
Christie,roll belonging to Sir Eustace Pedler which had rolled in here and
Conan Doyle,"    ran upstairs, got into my walking clothes, as I call them, and came"
Christie,one had no idea of where to look!
Conan Doyle,"into shrill chatter, but during the hot hours of the day only the full"
Conan Doyle,“But the twelve-mile drive?” gasped Hatherley.
Conan Doyle,“But what harm can there be in that?”
Christie,“He is staying behind?”
Christie,"Throughout, Madame Beroldy confronted her accusers with complete sang"
Conan Doyle,given to us by Professor Challenger.  Before I reach the surprising
Christie,"“Cinderella,” she said, and laughed."
Conan Doyle,his small black figure like a full-sailed merchant-man behind a tiny
Conan Doyle,"“Do not think of revenge, or anything of the sort, at present. I think"
Christie,"“You look like a witch, Anne,” he said at last, and there was"
Christie,"learnt of the transaction, not being a reader of the _Daily Budget._"
Conan Doyle,"We were as good as our word, for it was just seven when we reached the"
Christie,"A hurried departure was made forthwith. Stonor, at Jack’s instance,"
Conan Doyle,levers drowned my cries. The ceiling was only a foot or two above my
Conan Doyle,"“Yes, her father brought her over for this last London season. I met"
Christie,"“Have some face cream,” I said soothingly."
Conan Doyle,"had come. He looked about him anxiously in the glare of the lamp, and I"
Conan Doyle,"of this Professor Challenger?"""
Christie,"back to town. In the excitement, I forgot to relock the door. I only"
Christie,"“_A demain___ then, M. le juge. Many thanks for your courtesy and"
Christie,"“Opinions differ as to what are and are not ‘weak things,’ Miss"
Christie,"lip salve to her lips, observing the effect in a small pocket glass,"
Christie,"    moment… you’d forgive me, perhaps… I was so frightened, and"
Conan Doyle,"every possible combination of events may be expected to take place, and"
Conan Doyle,"downstairs, but I knew that she could not ascend. Swiftly I threw off"
Conan Doyle,"upon the door, one half-raised in her eagerness, her body slightly"
Christie,"“Yes, I distinctly remember hearing the clock on the mantelpiece strike"
Christie,him that his Government were letting things go rather far.
Conan Doyle,with another effort he braced himself to tell his story.
Christie,"“I am really much obliged to you, Pedler. I will send you round"
Christie,Françoise. Poirot brushed her aside unceremoniously and rushed down the
Christie,"house. Without doubt, he saw Captain Hastings and his companion leave"
Conan Doyle,There was nothing which we could see upon the shore which seemed to me
Conan Doyle,so long as I can move my hand I will continue to set down our
Conan Doyle,permission we shall walk out upon the lawn.”
Conan Doyle,not heard the opening part but also because the peculiar nature of the
Conan Doyle,"two very singular points about this room. For example, what a fool a"
Conan Doyle,"“I shall never let it drop until the gems are found—never, Mary! Your"
Christie,dropped them here? Hardly. His movements were all accounted for.
Conan Doyle,"superscribed to “Sherlock Holmes, Esq. To be left till called for.” My"
Conan Doyle,Vexillaria and the glorious pink and scarlet blossoms of Cattleya and
Conan Doyle,"fascination for the Indian women, and that he always carried a large"
Christie,"guarded by giant boulders. A strange eerie place, far from the"
Conan Doyle,"Summerlee, too, there he was with his short briar between his thin"
Conan Doyle,“But why are you not conducting the case from Baker Street?” I asked.
Conan Doyle,"“I think I could lay my finger on it,” said Holmes quietly."
Conan Doyle,"money. When she wouldn’t do it, he kept on worrying her until she got"
Conan Doyle,us--but beyond these sounds there were no signs of life.
Conan Doyle,"splash in the water. The night, however, was extremely dark and stormy,"
Conan Doyle,"the larger but with the smaller crimes, and occasionally, indeed, where"
Christie,"“And the assumption is, M. le juge—?”"
Conan Doyle,expect--but they carried away all our loose food.  Summerlee and I got
Conan Doyle,"idea of murder. There were no signs of violence, no footmarks, no"
Christie,wear on her day out—but doesn’t! A limp thing of black straw with
Christie,"“Me for the horrors,” she said. “Come along.”"
Conan Doyle,"""The same here.  No thought of it.  And here we are, up to our necks in"
Christie,carefully from it to the hedge which marked the boundary between the
Christie,"“At any rate, he’s _doing___ something,” I said, with asperity. “If"
Conan Doyle,"his powers so sorely, and yet afraid to break in upon the current of"
Conan Doyle,"with me, and we will see what is to be made of this fellow.” Striding"
Christie,“No—I mean the night stewardess.”
Christie,"“No,” I said hastily, “I don’t want him. But I should very much like"
Conan Doyle,"“That note only reached her yesterday,” said Holmes."
Christie,“Ah!” Poirot looked at me thoughtfully. “And you would swear to that in
Conan Doyle,curve of the avenue. It was a smart little landau which rattled up to
Christie,Aurignacian—an absurd mistake for one who knew anything of the
Christie,“Why do you take the trouble to warn me?”
Conan Doyle,"bone, with a membranous veil beneath it."
Conan Doyle,fast as the horse could go.”
Christie,scoop up cigarette ash when I do not know one kind from the other.
Conan Doyle,"""Entirely, sir--entirely!""  I was very emphatic."
Conan Doyle,"worn. He walked up to the sideboard, and tearing a piece from the loaf"
Christie,"possibility, everything will then be perfectly clear and"
Conan Doyle,"“‘I should certainly speak to the police,’ I said."
Christie,"“My dear M. Poirot,” cried the new-comer, “I am delighted to see you."
Conan Doyle,"least seven feet high, and so thin that she could hardly balance upon"
Conan Doyle,"way down, but after we had passed the Hampshire border he threw them"
Conan Doyle,of the wonders which they had encountered.  He then thrilled the
Christie,"“I didn’t know that cannibalism was a sacred subject,” I retorted,"
